222	140	6	18.28
211	264	4	19.91
606	113	4	16.24
126	217	6	11.12
179	133	6	8.6
102	153	22	7.52
301	139	3	7.06
118	432	4	10.46
118	364	4	8.77
1	8	9	14.87
523	138	3	12.74
139	301	3	7.06
12	159	30	9.88
248	210	3	11.24
140	113	13	7.53
127	360	3	8.03
113	606	4	16.24
274	112	6	10.58
161	159	5	7.92
721	109	3	11.08
213	102	11	8.59
104	485	4	7.86
105	636	4	13.44
251	288	3	14.72
120	822	3	14.68
101	528	4	7.85
59	9	16	9.85
113	108	43	21.01
301	12	9	8.63
160	130	7	7.39
103	781	3	7.93
8	326	3	7.03
109	851	3	11.08
102	115	55	6.68
214	9	4	8
163	260	3	8.34
12	132	48	7.07
261	159	12	85
136	162	8	12.04
900	103	3	7.93
111	728	3	11.47
115	59	24	6.66
683	781	3	40.85
372	12	7	6.7
269	162	3	8.17
294	154	3	9.95
139	335	3	7.83
176	119	8	8.5
252	170	3	7.85
336	106	5	7.23
407	8	3	9.06
12	118	83	8.11
135	176	6	8.51
108	12	136	25.94
122	555	3	10.16
16	1	8	7.83
754	103	3	7.93
85	9	11	8.05
388	134	4	15.23
531	59	3	8.21
120	800	3	14.68
228	109	6	6.66
101	355	6	6.99
102	378	7	14.23
347	59	4	7.85
212	160	4	10.05
212	234	3	11.15
203	104	9	7.29
109	153	13	8.03
178	108	13	17.26
226	85	5	8.94
140	213	4	8.53
116	126	18	7.27
507	204	3	17.96
12	292	9	8.63
822	103	3	7.93
511	105	4	8.84
142	342	3	8.86
137	411	3	9.46
132	186	5	7.05
653	109	3	6.92
193	83	3	7.34
8	347	3	7.94
8	103	27	9.77
39	357	3	17.86
781	683	3	40.85
505	114	4	12.52
329	127	3	7.12
353	115	4	8.51
154	113	13	12.54
102	123	44	7.98
151	230	4	9.59
85	118	17	7.9
101	318	7	8.68
222	113	8	13.87
110	528	3	6.99
110	588	3	6.99
284	116	5	8.61
121	111	22	7.07
12	9	45	6.74
143	133	10	11.59
640	101	4	7.85
105	717	3	10.07
57	279	5	9.78
144	427	3	10.74
12	147	44	35.42
314	656	3	30.26
140	222	6	18.28
115	125	18	8.08
549	101	4	7.85
506	21	3	13.43
688	551	3	36.35
189	104	10	7.25
143	146	8	9.5
104	472	4	7.86
120	207	6	9.38
130	472	3	10.06
607	123	4	19.71
141	268	5	15.46
227	103	9	8.72
129	102	38	12.25
114	590	3	8.69
132	101	35	9.65
107	488	4	8.72
16	136	12	9.87
401	683	3	34.12
138	306	3	7.12
177	144	6	12
426	138	3	9.16
556	110	3	6.99
162	584	3	16.12
108	113	43	21.01
279	59	5	9.49
133	225	7	19.89
146	143	8	9.5
120	607	4	19.61
320	134	4	12.01
154	204	4	8.89
125	8	11	6.95
513	497	5	62.96
103	12	184	6.8
105	876	3	10.07
226	165	3	7.22
21	236	4	10.73
163	116	9	6.96
12	104	159	17.95
150	431	3	11.15
12	217	16	15.4
411	137	3	9.46
147	172	5	7.51
111	841	3	11.47
326	9	3	7.22
104	212	11	16.8
837	103	3	7.93
110	115	30	9.07
362	124	3	7.02
212	109	11	22.86
124	362	3	7.02
117	778	3	12.69
529	123	3	10.42
12	368	7	6.7
103	728	3	7.93
102	523	4	8.11
59	307	6	16.54
118	499	3	6.94
124	868	3	14.82
522	110	4	14.9
138	113	17	10.51
103	896	3	7.93
101	317	7	8.68
657	314	3	30.26
186	185	3	7.34
310	101	6	6.99
146	287	3	6.83
101	573	4	7.85
732	279	3	29.39
103	843	3	7.93
8	145	8	8.29
127	12	47	8.95
416	119	4	11.11
161	368	3	11.42
139	333	3	7.83
9	1	8	11.86
153	109	13	8.03
251	408	3	18.54
9	407	3	9.26
420	112	4	9.11
207	141	4	6.69
269	117	5	7.57
341	105	8	27.02
818	106	3	9.91
12	261	12	11.52
359	122	3	8.11
172	12	24	10.08
149	227	4	10.73
551	688	3	36.35
181	111	11	13.43
216	128	5	9.77
133	127	12	14.49
138	156	7	8.14
105	341	8	27.02
228	218	4	18.91
103	749	3	7.93
182	16	7	10.29
141	221	4	7.65
8	122	14	11.67
122	359	3	8.11
473	280	3	21.93
279	57	5	9.78
147	12	44	35.42
394	134	3	8.96
104	189	10	7.25
104	263	7	7.81
116	12	91	9.68
12	165	29	17.1
12	105	158	52.48
57	8	17	11.94
161	146	6	8.26
161	261	3	7.8
57	531	3	8.4
116	343	4	8.14
199	226	3	10.08
117	202	9	15.7
885	255	3	27.35
8	228	4	7.76
8	279	5	16.63
59	291	6	14.34
174	200	6	22.84
152	120	9	7.55
129	401	3	9.88
105	432	6	20.21
101	115	64	16.71
165	12	29	17.1
101	227	10	6.68
504	121	3	8.37
102	152	23	8.52
537	102	4	8.11
108	126	29	18.15
731	104	3	9.28
116	238	6	8.38
150	347	3	9.99
171	433	3	13.84
110	556	3	6.99
362	111	4	8.31
155	366	4	17.45
728	111	3	11.47
234	162	4	11.39
110	101	85	21.08
128	412	3	8.96
369	12	7	6.7
748	105	3	10.07
144	195	4	6.87
176	159	6	14.39
128	249	4	7.64
110	394	4	7.93
128	206	5	8.61
57	121	22	12.21
302	136	3	7.12
429	130	3	8.6
12	206	16	6.67
263	104	7	7.81
762	57	3	12.64
145	8	8	8.29
138	12	48	10.9
111	12	115	18
483	158	3	13.95
433	171	3	13.84
118	8	15	9.64
555	122	3	10.16
228	8	4	7.76
232	138	4	7.29
102	355	6	7.34
402	192	3	15.72
105	462	5	16.82
102	114	56	7.3
113	178	21	70.44
156	129	7	6.75
138	426	3	9.16
16	403	3	7.49
142	432	4	16.67
739	130	3	16.53
327	144	3	8.65
153	102	22	7.52
109	14	153	8.57
57	347	4	8.08
59	767	3	12.44
57	163	9	6.85
12	195	17	7.41
195	144	4	6.87
110	522	4	14.9
115	57	24	7.48
