211	264	5	55.49
236	120	4	25.37
160	109	3	8.1
251	136	3	20.58
202	57	3	13.13
101	780	3	21.79
194	14	11	40.27
105	636	3	22.4
101	528	3	17.35
113	108	11	27.2
118	150	3	9.03
104	158	4	10.45
131	113	3	5.97
216	14	3	4.06
126	105	4	5.73
118	109	7	13.85
133	12	14	16.99
107	190	3	11.02
137	104	5	10.44
116	126	4	9.35
114	101	11	11.23
440	12	4	17.34
107	282	3	15.51
339	14	3	8.13
102	424	4	22.1
85	118	4	7.77
101	258	3	8.78
101	318	4	18.18
222	113	5	30.21
485	14	3	11.69
12	147	44	223.82
12	262	3	4.32
12	903	3	16.66
401	683	3	50.17
113	163	4	15.35
126	119	4	10.46
462	12	3	10.18
427	12	3	8.72
133	225	3	19.34
169	158	3	18.43
131	12	13	13.55
120	109	5	8.67
345	14	3	9.06
106	108	6	5.27
135	108	4	8.52
150	431	3	28.43
12	217	16	89
143	120	3	9.16
105	162	3	7.28
124	868	3	32.25
165	113	3	9.97
105	416	3	18.62
123	112	3	4.22
187	102	4	10.04
8	145	4	17.98
110	199	3	11.74
153	109	5	17.19
216	128	3	18.46
142	102	5	6.63
496	12	3	10.18
401	684	3	50.17
129	144	3	11.65
389	115	3	21.76
141	221	3	20.6
104	189	3	9.28
12	165	21	77.11
120	108	5	8.27
117	202	8	56.48
419	14	4	16.86
174	200	4	33.84
105	432	6	53.83
108	126	16	69.45
12	106	23	7.57
110	101	15	14.82
139	101	10	22.65
313	14	3	8.13
127	113	3	5.32
470	12	3	10.18
108	138	3	4.99
105	194	6	29.71
102	355	3	12.86
179	104	3	8.27
113	116	6	12.52
113	178	5	24.43
105	150	3	6.02
9	14	11	13.35
120	135	4	13.08
153	102	13	47.45
57	103	10	13.02
115	306	6	51.26
355	12	3	7.61
106	134	4	8.07
149	101	4	4.53
12	181	7	12.09
112	118	8	20.96
122	674	3	31.86
105	109	9	13.19
108	496	3	20.99
39	12	4	5.76
126	104	4	4.88
152	109	4	11.99
105	502	3	20.19
188	102	5	14.8
121	59	10	33.78
165	128	3	14.1
101	213	9	43.92
134	116	3	6.97
107	228	3	13.26
113	104	6	6.02
101	270	6	28.72
12	906	3	16.66
12	144	8	6.09
12	163	7	8.11
135	159	3	14.29
275	14	4	10.57
147	101	4	4
110	59	6	8.03
131	14	10	10.15
173	300	3	28.45
210	111	4	19.61
1	9	6	36.59
111	202	3	12.47
128	108	3	4.31
116	110	6	10.09
101	359	3	12.44
85	103	5	4.04
114	198	3	13.68
12	208	4	4.94
420	14	3	10.2
12	251	13	72.28
104	109	29	99.45
648	14	3	13.83
151	723	3	36.73
102	112	10	8.18
584	12	3	12.29
101	457	3	15.17
146	113	5	17.71
108	513	5	46.19
152	102	9	25.66
133	14	20	46.61
118	158	10	59.31
16	59	17	83.2
163	105	3	7.45
104	150	4	9.14
285	223	3	31.27
128	109	4	8
116	111	7	14.47
12	161	28	121.88
57	9	3	5.85
179	135	3	16.36
123	215	3	16.73
154	101	7	16.6
105	329	3	16.4
101	526	3	17.35
118	132	9	39.7
126	135	3	9.39
324	113	3	18.94
268	141	3	22.7
110	214	3	12.81
12	506	3	10.18
493	14	3	11.69
119	310	3	20.55
160	132	5	28.61
165	136	3	14.83
85	122	4	9.58
105	158	4	11.46
12	116	14	4.25
302	12	3	5.97
106	85	4	4.59
221	108	8	53.44
12	429	6	33.33
106	119	12	36.26
12	134	23	52.04
116	136	3	6.97
444	551	3	47.26
272	120	3	18.68
101	214	5	17.05
101	316	3	11.47
134	108	4	8.52
119	219	3	16.2
103	101	15	4.14
12	102	108	146.41
104	342	5	35.12
102	213	3	7.43
303	12	3	5.97
338	12	3	6.71
12	188	14	52.01
337	120	4	30.97
153	111	5	17.91
157	120	4	17.23
117	176	4	18.37
108	159	12	66.74
118	101	16	27.13
114	102	20	43.13
143	126	3	10.41
116	165	3	10.6
207	120	5	31.44
106	111	5	3.99
101	218	5	17.77
156	102	6	13.53
656	314	3	47.91
141	122	3	9.4
101	549	3	17.35
101	385	4	21.53
138	232	3	20.19
159	121	5	24.68
12	140	22	52.63
12	392	3	8.72
291	57	3	17.76
120	215	4	24.15
12	509	4	17.34
416	12	3	8.72
123	716	3	32.05
366	155	3	28.12
136	137	5	23.69
16	117	6	19.02
183	12	5	5.99
101	229	3	7.83
101	280	3	9.95
101	483	3	15.17
115	713	3	30.04
141	235	4	30.78
8	1	5	28
114	109	10	25.6
143	112	6	22.5
104	203	7	37.1
106	124	7	16.46
12	376	5	19.65
905	522	3	53.99
162	12	7	7.77
102	364	3	12.86
